00:27:16.462 [task-1] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - UUID:[] - COID:[] Initialized JPA EntityManagerFactory for persistence unit 'default'
00:27:16.956 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - UUID:[] - COID:[] spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
00:27:17.916 [main] INFO  o.s.d.r.c.DeferredRepositoryInitializationListener - UUID:[] - COID:[] Triggering deferred initialization of Spring Data repositories…
00:27:18.177 [main] INFO  o.s.d.r.c.DeferredRepositoryInitializationListener - UUID:[] - COID:[] Spring Data repositories initialized!
00:27:18.189 [main] INFO  c.i.w.InferenceOmnicanalSoleApiApplicationTests - UUID:[] - COID:[] Started InferenceOmnicanalSoleApiApplicationTests in 6.913 seconds (JVM running for 8.129)
00:27:18.560 [SpringContextShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - UUID:[] - COID:[] Closing JPA EntityManagerFactory for persistence unit 'default'
00:27:18.563 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor - UUID:[] - COID:[] Shutting down ExecutorService 'applicationTaskExecutor'
00:27:18.564 [SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - UUID:[] - COID:[] HikariPool-1 - Shutdown initiated...
00:27:18.570 [SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - UUID:[] - COID:[] HikariPool-1 - Shutdown completed.
00:35:03.306 [main] INFO  c.i.w.InferenceOmnicanalSoleApiApplicationTests - UUID:[] - COID:[] Starting InferenceOmnicanalSoleApiApplicationTests using Java 11.0.11 on MacBook-RB.local with PID 73098 (started by renattob in /Users/renattob/Documents/Proyectos/Java-Scala/INFERENCE/InferenceOmnicanalNubyxAPI)
00:35:03.315 [main] INFO  c.i.w.InferenceOmnicanalSoleApiApplicationTests - UUID:[] - COID:[] No active profile set, falling back to default profiles: default
00:35:04.372 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - UUID:[] - COID:[] Multiple Spring Data modules found, entering strict repository configuration mode!
00:35:04.375 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - UUID:[] - COID:[] Bootstrapping Spring Data Redis repositories in DEFAULT mode.
00:35:04.398 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - UUID:[] - COID:[] Finished Spring Data repository scanning in 12 ms. Found 0 Redis repository interfaces.
00:35:04.612 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - UUID:[] - COID:[] Multiple Spring Data modules found, entering strict repository configuration mode!
00:35:04.615 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - UUID:[] - COID:[] Bootstrapping Spring Data JPA repositories in DEFERRED mode.
00:35:04.843 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - UUID:[] - COID:[] Spring Data JPA - Could not safely identify store assignment for repository candidate interface com.inference.whatsappintegration.infrastructure.persistence.repository.Five9SessionRepository. If you want this repository to be a JPA repository, consider annotating your entities with one of these annotations: javax.persistence.Entity, javax.persistence.MappedSuperclass (preferred), or consider extending one of the following types with your repository: org.springframework.data.jpa.repository.JpaRepository.
00:35:04.846 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - UUID:[] - COID:[] Spring Data JPA - Could not safely identify store assignment for repository candidate interface com.inference.whatsappintegration.infrastructure.persistence.repository.SessionRepository. If you want this repository to be a JPA repository, consider annotating your entities with one of these annotations: javax.persistence.Entity, javax.persistence.MappedSuperclass (preferred), or consider extending one of the following types with your repository: org.springframework.data.jpa.repository.JpaRepository.
00:35:04.884 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - UUID:[] - COID:[] Finished Spring Data repository scanning in 265 ms. Found 2 JPA repository interfaces.
00:35:04.925 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - UUID:[] - COID:[] Multiple Spring Data modules found, entering strict repository configuration mode!
00:35:04.926 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - UUID:[] - COID:[] Bootstrapping Spring Data Redis repositories in DEFAULT mode.
00:35:04.951 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - UUID:[] - COID:[] Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.inference.whatsappintegration.infrastructure.persistence.repository.ConversationCountSummaryRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
00:35:04.968 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - UUID:[] - COID:[] Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.inference.whatsappintegration.infrastructure.persistence.repository.WhatsappDailyConversationHistoryRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
00:35:04.983 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - UUID:[] - COID:[] Finished Spring Data repository scanning in 56 ms. Found 2 Redis repository interfaces.
