09:59:07.135 [main] INFO  c.i.w.InferenceOmnicanalSoleApiApplicationTests - UUID:[] - COID:[] Starting InferenceOmnicanalSoleApiApplicationTests using Java 11.0.11 on MacBook-RB.local with PID 67436 (started by renattob in /Users/renattob/Documents/Proyectos/Java-Scala/INFERENCE/InferenceOmnicanalNubyxAPI)
09:59:07.142 [main] INFO  c.i.w.InferenceOmnicanalSoleApiApplicationTests - UUID:[] - COID:[] No active profile set, falling back to default profiles: default
09:59:08.232 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - UUID:[] - COID:[] Multiple Spring Data modules found, entering strict repository configuration mode!
09:59:08.235 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - UUID:[] - COID:[] Bootstrapping Spring Data Redis repositories in DEFAULT mode.
09:59:08.257 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - UUID:[] - COID:[] Finished Spring Data repository scanning in 11 ms. Found 0 Redis repository interfaces.
09:59:08.516 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - UUID:[] - COID:[] Multiple Spring Data modules found, entering strict repository configuration mode!
09:59:08.518 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - UUID:[] - COID:[] Bootstrapping Spring Data JPA repositories in DEFERRED mode.
09:59:08.748 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - UUID:[] - COID:[] Spring Data JPA - Could not safely identify store assignment for repository candidate interface com.inference.whatsappintegration.infrastructure.persistence.repository.Five9SessionRepository. If you want this repository to be a JPA repository, consider annotating your entities with one of these annotations: javax.persistence.Entity, javax.persistence.MappedSuperclass (preferred), or consider extending one of the following types with your repository: org.springframework.data.jpa.repository.JpaRepository.
09:59:08.752 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - UUID:[] - COID:[] Spring Data JPA - Could not safely identify store assignment for repository candidate interface com.inference.whatsappintegration.infrastructure.persistence.repository.SessionRepository. If you want this repository to be a JPA repository, consider annotating your entities with one of these annotations: javax.persistence.Entity, javax.persistence.MappedSuperclass (preferred), or consider extending one of the following types with your repository: org.springframework.data.jpa.repository.JpaRepository.
09:59:08.794 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - UUID:[] - COID:[] Finished Spring Data repository scanning in 270 ms. Found 2 JPA repository interfaces.
09:59:08.834 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - UUID:[] - COID:[] Multiple Spring Data modules found, entering strict repository configuration mode!
09:59:08.835 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - UUID:[] - COID:[] Bootstrapping Spring Data Redis repositories in DEFAULT mode.
